X,Y
0,79146
1,-42909
2,977439
3,703952
4,365758
5,-226407
6,-628292
7,-565980
8,280309
9,817312
10,-596967
11,-723276
12,527598
13,163185
14,121547
15,219225
16,-95816
17,535714
18,-630266
19,177122
20,937022
21,-953956
22,665681
23,-399430
24,277736
25,-148249
26,46794
27,283055
28,975609
29,-420779
30,937489
31,-495967
32,554556
33,-595616
34,10518
35,-410683
36,780895
37,-749615
38,483398
39,-371941
40,-971217
41,-298397
42,346454
43,-108975
44,-247123
45,998333
46,-168769
47,-956721
48,-745172
49,327887
50,-836384
51,329230
52,60722
53,628481
54,937387
55,-376352
56,784577
57,-921383
58,334908
59,-744391
60,-356231
61,-991415
62,827820
63,780371
64,-276270
65,50059
66,390543
67,-370894
68,-774965
69,-93101
70,687609
71,730105
72,607884
73,559566
74,-436579
75,-918901
76,-428147
77,-442099
78,-259919
79,974906
80,583080
81,-406252
82,527117
83,-147742
84,-984443
85,-479649
86,695162
87,830143
88,653652
89,-21476
90,-345619
91,-260474
92,105692
93,150252
94,845547
95,918580
96,644691
97,-716418
98,-233498
99,-792344
100,-203961
101,794467
102,-536774
103,697143
104,-564433
105,-433701
106,-470082
107,938669
108,-754826
109,-214810
110,160270
111,-909308
112,-302396
113,126756
114,104863
115,848418
116,-287240
117,-124686
118,678349
119,-596631
120,-677674
121,102005
122,-401877
123,434192
124,193227
125,724794
126,-183655
127,351279
128,-633038
129,450776
130,364272
131,339432
132,-694133
133,485358
134,-369347
135,496249
136,627420
137,-632807
138,500988
139,-730582
140,359228
141,71825
142,-203949
143,411181
144,125403
145,-255139
146,292939
147,901752
148,-777768
149,-828108
150,-789400
151,-281515
152,1011349
153,-280740
154,916468
155,-122951
156,421473
157,-37124
158,144502
159,928903
160,1003670
161,52018
162,635670
163,807873
164,-137234
165,-591498
166,-67323
167,-502096
168,-763383
169,-301502
170,-30491
171,397434
172,153080
173,-798684
174,-198515
175,679665
176,-683350
177,-545044
178,346684
179,503860
180,668445
181,-481159
182,-867245
183,-131716
184,-481867
185,948703
186,-154233
187,-870886
188,-34412
189,-15882
190,857989
191,-900088
192,-186072
193,-821196
194,179754
195,553843
196,-486021
197,-447358
198,-113831
199,-605331
200,103434
201,669416
202,21547
203,679621
204,-803991
205,500275
206,-597608
207,289716
208,154106
209,-472642
210,-881956
211,-272151
212,1020808
213,555137
214,180692
215,-303376
216,-696611
217,11029
218,-71551
219,566249
220,-440681
221,-518546
222,-791666
223,-634068
224,293082
225,106742
226,955613
227,-598795
228,660742
229,-227680
230,671082
231,-605724
232,-406075
233,-945674
234,129779
235,-221713
236,-812517
237,-729122
238,381808
239,-435755
240,-88873
241,707878
242,-251961
243,-423040
244,724617
245,812701
246,983003
247,262740
248,-611729
249,696325
250,769938
251,460068
252,852711
253,621148
254,868577
255,-238332
256,-897754
257,-207518
258,-150967
259,410563
260,348926
261,666486
262,78249
263,544239
264,704675
265,420354
266,-225848
267,-134256
268,-419420
269,290511
270,-119569
271,-804357
272,997301
273,-782062
274,1040846
275,-615413
276,-509243
277,42401
278,-903454
279,211236
280,101138
281,183421
282,-598052
283,67784
284,-21955
285,425794
286,-766182
287,-431246
288,-455852
289,808348
290,1066677
291,-183326
292,-72084
293,96560
294,519405
295,330816
296,-873180
297,119423
298,186382
299,-15005
300,768092
301,-573248
302,705271
303,-27980
304,-865575
305,462609
306,932398
307,-676804
308,236291
309,1082221
310,490659
311,1057947
312,-549352
313,-807985
314,269306
315,-479125
316,-269206
317,-805321
318,-96741
319,-850869
320,-130753
321,-693430
322,551426
323,835026
324,-615113
325,724746
326,-577975
327,331012
328,-692858
329,-250093
330,1068731
331,-761024
332,1046626
333,-179970
334,-497094
335,-373503
336,5759
337,-368400
338,1070447
339,-571071
340,-195406
341,-195062
342,565202
343,-494290
344,-539896
345,10547
346,426632
347,163662
348,648607
349,-849155
350,633271
351,-610365
352,630552
353,235496
354,-710365
355,92687
356,-201499
357,-542540
358,708506
359,-579222
360,-783826
361,-221875
362,881841
363,456959
364,809118
365,530767
366,-715899
367,589945
368,912214
369,315902
370,462419
371,79487
372,-700614
373,-827287
374,-98172
375,-493152
376,1071770
377,1084259
378,1128548
379,-56138
380,177590
381,-361915
382,-707687
383,241259
384,-367402
385,808625
386,498641
387,-696041
388,933337
389,979305
390,412291
391,289711
392,439314
393,949483
394,-449340
395,156314
396,-597426
397,314372
398,542669
399,515070
400,6596
401,-448379
402,-543869
403,997319
404,1060882
405,90592
406,348585
407,-596841
408,277355
409,168975
410,104181
411,-803636
412,449593
413,595884
414,-311340
415,545583
416,-317901
417,1152775
418,755433
419,1107758
420,147346
421,-155491
422,-788373
423,117333
424,611389
425,1162288
426,953021
427,969985
428,258572
429,-480875
430,-70544
431,1014090
432,-420607
433,-67263
434,-131522
435,785893
436,-460993
437,-176542
438,-165166
439,947160
440,342600
441,-308134
442,899203
443,261236
444,-342606
445,712218
446,-732184
447,318811
448,-720185
449,923405
450,-168621
451,297146
452,1048107
453,602659
454,723049
455,63238
456,-387482
457,-241733
458,-665655
459,448939
460,554861
461,-6220
462,43739
463,-112346
464,-12849
465,-556038
466,-396629
467,-776628
468,-456112
469,469094
470,107322
471,938147
472,417927
473,777090
474,-112281
475,-525198
476,-117801
477,-208386
478,496841
479,833459
480,-665478
481,1068344
482,-737607
483,37095
484,1087739
485,-628379
486,-533165
487,-665748
488,770542
489,1073951
490,23856
491,717358
492,861205
493,141697
494,-308224
