X,Y
0,105760
1,38891
2,82776
3,24615
4,-14211
5,-23369
6,-15687
7,48979
8,45595
9,40436
10,46136
11,26298
12,91839
13,48126
14,54701
15,45135
16,40186
17,60888
18,82402
19,94131
20,132895
21,68789
22,142647
23,85004
24,106282
25,75956
26,121669
27,87625
28,98438
29,35032
30,6007
31,-58886
32,-24851
33,-64423
34,-54944
35,-15583
36,-8422
37,-97360
38,-105958
39,-123096
40,-152742
41,-98376
42,-83155
43,-72502
44,-23060
45,-27695
46,-38451
47,-75720
48,-13183
49,-8728
50,-35859
51,-37676
52,-11043
53,26659
54,-11701
55,-53414
56,-18120
57,-72174
58,-65033
59,-87883
60,-23462
61,28857
62,108183
63,101086
64,46680
65,18859
66,-470
67,-39279
68,-32429
69,52450
70,91332
71,44710
72,35798
73,-3630
74,-82140
75,-90326
76,-18665
77,40386
78,96359
79,113846
80,53887
81,11935
82,34753
83,16757
84,65027
85,162655
86,228242
87,172781
88,128436
89,61107
90,49906
91,104006
92,95233
93,126277
94,97460
95,38088
96,-33970
97,-32457
98,-44059
99,-51383
100,-11377
101,-47884
102,-107348
103,-85398
104,-123682
105,-66934
106,-64960
107,-49989
108,-63220
109,-56599
110,-78889
111,-84878
112,-62476
113,-25264
114,-19235
115,15258
116,-29973
117,2098
118,-19628
119,-28389
120,18710
121,71791
122,41341
123,88533
124,55689
125,73686
126,71831
127,55291
128,64953
129,64336
130,64392
131,52641
132,25854
133,77750
134,60096
135,65745
136,55685
137,67980
138,61681
139,-1764
140,-7713
141,-41658
142,-1409
143,-6364
144,13691
145,-344
146,28727
147,11726
148,-27011
149,50035
150,139729
151,186817
152,241373
153,243244
154,261964
155,201979
156,214262
157,179118
158,152505
159,139815
160,98405
161,67569
162,66703
163,-9917
164,-69895
165,-46798
166,-63018
167,-98971
168,-71795
169,-22131
170,16344
171,-9023
172,-72893
173,-93102
174,-81977
175,-27923
176,-66733
177,-75841
178,-50423
179,-66671
180,-51928
181,-129871
182,-121574
183,-121700
184,-108230
185,-60160
186,-130015
187,-146987
188,-114325
189,-144554
190,-142581
191,-155878
192,-113229
193,-71608
194,-68404
195,-51244
196,-105651
197,-67551
198,-35127
199,-48442
200,-57037
201,-70849
202,-50067
203,-21650
204,-43030
205,-17983
206,-73393
207,-42875
208,-58903
209,-40409
210,-38505
211,-20317
212,-42649
213,-121100
214,-138314
215,-146373
216,-92535
217,-88789
218,-60036
219,-67525
220,-63824
221,-72889
222,-70037
223,-78675
224,-40281
225,-60127
226,-99794
227,-180365
228,-138030
229,-193958
230,-193369
231,-197786
232,-186887
233,-193260
234,-119178
235,-90415
236,-34490
237,19821
238,34944
239,58158
240,127577
241,169001
242,193364
243,253047
244,335806
245,311617
246,249311
247,206134
248,195306
249,251622
250,244292
251,244924
252,230357
253,217430
254,219711
255,192839
256,187777
257,221204
258,211831
259,233641
260,207540
261,150872
262,162146
263,117931
264,136841
265,70033
