X,Y
0,-59263
1,-9932
2,86746
3,47339
4,-93049
5,-17802
6,-69405
7,97128
8,-3181
9,92922
10,-66765
11,72078
12,-63829
13,18145
14,-7295
15,52076
16,5768
17,-18069
18,26037
19,-6835
20,-8281
21,-33712
22,-51389
23,95187
24,-24176
25,81352
26,81590
27,-26471
28,85443
29,24176
30,78043
31,-64766
32,-8815
33,83816
34,-23095
35,9002
36,38261
37,8694
38,-48418
39,22162
40,57728
41,-9929
42,50739
43,-84534
44,-57810
45,55900
46,63274
47,61753
48,-34379
49,12743
50,-42136
51,-79265
52,101786
53,-75902
54,-69263
55,49042
56,19139
57,49238
58,73842
59,-32171
60,657
61,-83760
62,54774
63,-67315
64,93617
65,57072
66,-78067
67,31833
68,-85251
69,-17542
70,-71762
71,72670
72,7683
73,-76595
74,-7215
75,-73712
76,-73713
77,-83327
78,101670
79,95108
80,9387
81,102262
82,-84395
83,34221
84,-36828
85,67711
86,-82927
87,97667
88,3511
89,48527
90,-72782
91,-25509
92,6700
93,-25280
94,-63885
95,-18189
96,60671
97,100416
98,50739
99,-69107
100,-57349
101,421
102,-75644
103,82794
104,17078
105,-17263
106,-81208
107,16474
108,-26148
109,63152
110,-34549
111,-37734
112,31438
113,35161
114,-57957
115,-77650
116,-37746
117,94035
118,84664
119,59906
120,-24869
121,-63592
122,68031
123,-9827
124,-16713
125,-39673
126,-30313
127,59529
128,5881
129,-73612
130,-51652
131,3960
132,-12235
133,-11121
134,112754
135,-16020
136,-15805
137,-57273
138,71599
139,-25210
140,112866
141,-11498
142,-16713
143,-44214
144,-13101
145,-23468
146,9545
147,-36845
148,68794
149,19691
150,-47742
151,-41708
152,87410
153,107731
154,56917
155,-64324
156,123951
157,58079
158,-1504
159,115719
160,-37555
161,-63171
162,5764
163,120331
164,72674
165,-50407
166,127017
167,45778
168,-42690
169,11643
170,2546
171,10023
172,100599
173,98032
174,123779
175,69382
176,118434
177,-25015
178,64346
179,55390
180,-64196
181,-21488
182,102680
183,87444
184,-213
185,-20218
186,101780
187,102797
188,64577
189,-27074
190,65219
191,32020
192,94589
193,-31556
194,-41862
195,31780
196,-10404
197,-5092
198,58957
199,37768
200,-27221
201,1527
202,69929
203,30265
204,42387
205,-50466
206,128928
207,76228
208,-18979
209,-32906
210,38576
211,-17419
212,46201
213,22795
214,-33472
215,5208
216,75420
217,9430
218,107520
219,137462
220,3608
221,32072
222,133144
223,135569
224,-36234
225,59900
226,28562
227,150533
228,-38264
229,-1774
230,-45152
231,22181
232,30442
233,-31927
234,-24055
235,-8605
236,47333
237,-30306
238,68758
239,56740
240,684
241,136176
242,15233
243,-912
244,129480
245,754
246,-17442
247,-34875
248,60144
249,151584
250,41620
251,33904
252,100424
253,149247
254,50437
255,160359
256,4196
257,99865
258,95578
259,-15455
260,19349
261,130890
262,141735
263,-5270
264,-13959
265,106871
266,147480
267,50228
268,55405
269,132658
270,-13417
