X,Y
0,430
1,11375
2,7229
3,2329
4,-1312
5,7757
6,9144
7,11996
8,8254
9,8071
10,3252
11,4960
12,-1224
13,5945
14,4102
15,8581
16,10026
17,8533
18,13297
19,13448
20,17746
21,15747
22,17446
23,24773
24,20037
25,22376
26,20981
27,18032
28,17439
29,14623
30,16276
31,12017
32,17340
33,13729
34,6459
35,9574
36,11549
37,12218
38,9890
39,12443
40,9278
41,2421
42,7284
43,775
44,885
45,5708
46,3773
47,2734
48,2858
49,2629
50,1586
51,-762
52,5469
53,-2669
54,5238
55,11461
56,5683
57,6378
58,147
59,-4333
60,-6549
61,-3508
62,715
63,-5766
64,-3051
65,-11414
66,-18731
67,-20144
68,-18082
69,-10361
70,-9366
71,-1213
72,-8583
73,-7762
74,-5964
75,-2535
76,-2551
77,6380
78,11778
79,10669
80,3676
81,2635
82,-1731
83,1409
84,-2825
85,-1788
86,-2087
87,6664
88,4443
89,636
90,-4883
91,-1804
92,-4403
93,-907
94,999
95,3401
96,647
97,-1326
98,-7733
99,-7722
100,-6474
101,-5616
102,-4321
103,959
104,-5654
105,-10482
106,-12118
107,-4381
108,-1279
109,3125
110,-549
111,-1650
112,3574
113,1985
114,-435
115,683
116,3469
117,8843
118,5275
119,-1949
120,-7503
121,-6461
122,-4244
123,-8386
124,-3043
125,-3134
126,-2179
127,-3732
128,-3756
129,-5666
130,3036
131,5450
132,5032
133,3951
134,4444
135,-1685
136,-398
137,-1316
138,4802
139,2737
140,2065
141,-5341
142,-1145
143,4486
144,9327
145,7120
146,14559
147,17583
148,20166
149,23132
150,21377
151,21562
152,25104
153,27921
154,27368
155,23116
156,32989
157,30144
158,25944
159,26845
160,21633
161,23911
162,31821
163,36535
164,37109
165,37416
166,46137
167,39524
168,40854
169,46235
170,43547
171,43446
172,48788
173,48970
174,44884
175,38397
176,39986
177,38949
178,43188
179,38946
180,39067
181,43435
182,48962
183,42578
184,36116
185,37222
186,37634
187,32432
188,30034
189,28131
190,27609
191,24031
192,24912
193,20704
194,23183
195,22158
196,26066
197,29641
198,28847
199,24416
200,24277
201,24585
202,26739
203,24582
204,21731
205,19892
206,25778
207,20074
208,21109
209,28190
210,30108
211,30076
212,37507
213,42276
214,40308
215,45638
216,47977
217,52610
218,51889
219,48150
220,40404
221,41779
222,42259
223,34625
224,26659
225,27325
226,25854
227,21998
228,16646
229,19492
230,18244
231,25823
232,24733
233,22405
234,29509
235,30826
236,30572
237,26882
238,31422
239,36070
240,36139
241,38573
242,37478
243,44466
244,47962
245,50311
