X,Y
0,-36056
1,-18747
2,19440
3,39044
4,-52525
5,71899
6,57142
7,81727
8,-94057
9,41229
10,58560
11,-81890
12,30127
13,-26494
14,-44038
15,-96474
16,-12952
17,-69116
18,74304
19,-29095
20,27648
21,-68094
22,45716
23,-88177
24,94889
25,49389
26,-78687
27,-32071
28,-71183
29,-70239
30,-18074
31,42634
32,-58079
33,61798
34,34578
35,61801
36,-90060
37,-60311
38,-67019
39,96216
40,-31346
41,74620
42,-54012
43,67835
44,-64440
45,77874
46,-90068
47,-61439
48,88191
49,74601
50,-80683
51,-32373
52,-39994
53,35559
54,-36530
55,99501
56,-86429
57,27875
58,-29980
59,-16022
60,20202
61,85470
62,-65423
63,-61897
64,27121
65,89103
66,-30864
67,-53986
68,-23835
69,-94762
70,-86464
71,-85577
72,94303
73,83946
74,-48870
75,-85681
76,94600
77,-13074
78,37582
79,31985
80,59237
81,-18908
82,-81982
83,-88543
84,95886
85,64848
86,99131
87,-3853
88,82218
89,-64300
90,-18001
91,-4162
92,-63914
93,45972
94,42120
95,84451
96,85708
97,49077
98,48259
99,37204
